treatment,group_id,round,player_id,earned_wealth,mturk_id,endowment,final_wealth
Endow,6,1,1,55.0,A1295RHU5X5GTX,4.0,55.0
Endow,6,2,1,130.0,A1295RHU5X5GTX,4.0,130.0
Endow,6,3,1,230.0,A1295RHU5X5GTX,4.0,230.0
Endow,6,4,1,345.0,A1295RHU5X5GTX,4.0,345.0
Endow,6,5,1,405.0,A1295RHU5X5GTX,4.0,405.0
Endow,6,6,1,525.0,A1295RHU5X5GTX,4.0,525.0
Endow,6,7,1,600.0,A1295RHU5X5GTX,4.0,600.0
Endow,6,8,1,650.0,A1295RHU5X5GTX,4.0,650.0
Endow,6,9,1,725.0,A1295RHU5X5GTX,4.0,725.0
Endow,6,10,1,750.0,A1295RHU5X5GTX,4.0,750.0
Endow,6,11,1,795.0,A1295RHU5X5GTX,4.0,795.0
Endow,6,12,1,840.0,A1295RHU5X5GTX,4.0,840.0
Endow,6,13,1,880.0,A1295RHU5X5GTX,4.0,880.0
Endow,6,14,1,935.0,A1295RHU5X5GTX,4.0,935.0
Endow,6,15,1,995.0,A1295RHU5X5GTX,4.0,995.0
Endow,6,16,1,1015.0,A1295RHU5X5GTX,4.0,1015.0
Endow,6,17,1,1145.0,A1295RHU5X5GTX,4.0,1145.0
Endow,6,18,1,1145.0,A1295RHU5X5GTX,4.0,1145.0
Endow,6,19,1,1185.0,A1295RHU5X5GTX,4.0,1185.0
Endow,6,20,1,1225.0,A1295RHU5X5GTX,4.0,1225.0
Endow,6,1,2,25.0,A2LVCS009DMEAT,6.0,25.0
Endow,6,2,2,85.0,A2LVCS009DMEAT,6.0,85.0
Endow,6,3,2,165.0,A2LVCS009DMEAT,6.0,165.0
Endow,6,4,2,190.0,A2LVCS009DMEAT,6.0,190.0
Endow,6,5,2,220.0,A2LVCS009DMEAT,6.0,220.0
Endow,6,6,2,230.0,A2LVCS009DMEAT,6.0,230.0
Endow,6,7,2,260.0,A2LVCS009DMEAT,6.0,260.0
Endow,6,8,2,330.0,A2LVCS009DMEAT,6.0,330.0
Endow,6,9,2,375.0,A2LVCS009DMEAT,6.0,375.0
Endow,6,10,2,485.0,A2LVCS009DMEAT,6.0,485.0
Endow,6,11,2,590.0,A2LVCS009DMEAT,6.0,590.0
Endow,6,12,2,680.0,A2LVCS009DMEAT,6.0,680.0
Endow,6,13,2,740.0,A2LVCS009DMEAT,6.0,740.0
Endow,6,14,2,830.0,A2LVCS009DMEAT,6.0,830.0
Endow,6,15,2,865.0,A2LVCS009DMEAT,6.0,865.0
Endow,6,16,2,985.0,A2LVCS009DMEAT,6.0,985.0
Endow,6,17,2,1000.0,A2LVCS009DMEAT,6.0,1000.0
Endow,6,18,2,1085.0,A2LVCS009DMEAT,6.0,1085.0
Endow,6,19,2,1180.0,A2LVCS009DMEAT,6.0,1180.0
Endow,6,20,2,1220.0,A2LVCS009DMEAT,6.0,1220.0
Endow,6,1,3,60.0,A1IIF95II8FISQ,2.0,60.0
Endow,6,2,3,105.0,A1IIF95II8FISQ,2.0,105.0
Endow,6,3,3,135.0,A1IIF95II8FISQ,2.0,135.0
Endow,6,4,3,165.0,A1IIF95II8FISQ,2.0,165.0
Endow,6,5,3,225.0,A1IIF95II8FISQ,2.0,225.0
Endow,6,6,3,240.0,A1IIF95II8FISQ,2.0,240.0
Endow,6,7,3,255.0,A1IIF95II8FISQ,2.0,255.0
Endow,6,8,3,300.0,A1IIF95II8FISQ,2.0,300.0
Endow,6,9,3,345.0,A1IIF95II8FISQ,2.0,345.0
Endow,6,10,3,375.0,A1IIF95II8FISQ,2.0,375.0
Endow,6,11,3,405.0,A1IIF95II8FISQ,2.0,405.0
Endow,6,12,3,440.0,A1IIF95II8FISQ,2.0,440.0
Endow,6,13,3,490.0,A1IIF95II8FISQ,2.0,490.0
Endow,6,14,3,515.0,A1IIF95II8FISQ,2.0,515.0
Endow,6,15,3,550.0,A1IIF95II8FISQ,2.0,550.0
Endow,6,16,3,580.0,A1IIF95II8FISQ,2.0,580.0
Endow,6,17,3,605.0,A1IIF95II8FISQ,2.0,605.0
Endow,6,18,3,645.0,A1IIF95II8FISQ,2.0,645.0
Endow,6,19,3,645.0,A1IIF95II8FISQ,2.0,645.0
Endow,6,20,3,720.0,A1IIF95II8FISQ,2.0,720.0
Endow,6,1,4,35.0,A3W2YF5RJ6R01N,4.0,35.0
Endow,6,2,4,75.0,A3W2YF5RJ6R01N,4.0,75.0
Endow,6,3,4,125.0,A3W2YF5RJ6R01N,4.0,125.0
Endow,6,4,4,175.0,A3W2YF5RJ6R01N,4.0,175.0
Endow,6,5,4,210.0,A3W2YF5RJ6R01N,4.0,210.0
Endow,6,6,4,245.0,A3W2YF5RJ6R01N,4.0,245.0
Endow,6,7,4,265.0,A3W2YF5RJ6R01N,4.0,265.0
Endow,6,8,4,335.0,A3W2YF5RJ6R01N,4.0,335.0
Endow,6,9,4,345.0,A3W2YF5RJ6R01N,4.0,345.0
Endow,6,10,4,365.0,A3W2YF5RJ6R01N,4.0,365.0
