treatment,group_id,round,player_id,other_id,amount,count,mturk_id,endowment
Endow,6,1,1,1,40,4,A1295RHU5X5GTX,4.0
Endow,6,1,2,2,10,1,A2LVCS009DMEAT,6.0
Endow,6,1,2,3,15,1,A2LVCS009DMEAT,6.0
Endow,6,1,2,8,30,2,A2LVCS009DMEAT,6.0
Endow,6,1,2,18,15,1,A2LVCS009DMEAT,6.0
Endow,6,1,2,20,15,1,A2LVCS009DMEAT,6.0
Endow,6,1,3,4,15,1,A1IIF95II8FISQ,2.0
Endow,6,1,3,7,15,1,A1IIF95II8FISQ,2.0
Endow,6,1,4,3,15,1,A3W2YF5RJ6R01N,4.0
Endow,6,1,4,4,20,2,A3W2YF5RJ6R01N,4.0
Endow,6,1,4,19,15,1,A3W2YF5RJ6R01N,4.0
Endow,6,1,7,7,10,1,AZBEA4X1GBSTI,4.0
Endow,6,1,7,11,15,1,AZBEA4X1GBSTI,4.0
Endow,6,1,8,5,15,1,A2HGRSPR50ENHL,6.0
Endow,6,1,8,7,15,1,A2HGRSPR50ENHL,6.0
Endow,6,1,8,8,10,1,A2HGRSPR50ENHL,6.0
Endow,6,1,9,9,20,2,A26LOVXF4QZZCO,2.0
Endow,6,1,10,6,15,1,A3PXCRGJZE1QC3,4.0
Endow,6,1,10,10,20,2,A3PXCRGJZE1QC3,4.0
Endow,6,1,10,20,15,1,A3PXCRGJZE1QC3,4.0
Endow,6,1,11,7,15,1,AJQGWGESKQT4Y,4.0
Endow,6,1,11,15,15,1,AJQGWGESKQT4Y,4.0
Endow,6,1,11,19,15,1,AJQGWGESKQT4Y,4.0
Endow,6,1,12,11,15,1,A36A780ODXBDEH,6.0
Endow,6,1,12,12,20,2,A36A780ODXBDEH,6.0
Endow,6,1,12,15,15,1,A36A780ODXBDEH,6.0
Endow,6,1,12,16,30,2,A36A780ODXBDEH,6.0
Endow,6,1,14,9,30,2,A2WWYVKGZZXBOB,4.0
Endow,6,1,14,14,20,2,A2WWYVKGZZXBOB,4.0
Endow,6,1,15,15,60,6,A2NAKIXS3DVGAA,6.0
